msg_id,conv_id,conv_turn,sender_user_id,receiver_user_id,sent_at,text,answer,source_file
424b610b-732c-45e9-93b8-72e23a269b22,chat:u_1_u_2,1,Maayan Magshimim,Barbara,2025-01-06 17:37:39,"Messages and calls are end-to-end encrypted. Only people in this chat can read, listen to, or share them.
Hi, if it's possible to be a few minutes late, I had a delay here","Yes, yes
One minute
Maayan, something embarrassing happened to me, my computer isn't working and in addition to that, everything was erased from my WhatsApp
I'll transfer your defense to another date, sorryyyy
But could you send me the link to the file because I don't have it
I apologize very much, I'm having a jinxed week",mayan_student_translated.txt
952a8120-f468-4204-aebc-7ded98c3999f,chat:u_1_u_2,2,Barbara,Maayan Magshimim,2025-01-06 17:41:31,"Yes, yes
One minute
Maayan, something embarrassing happened to me, my computer isn't working and in addition to that, everything was erased from my WhatsApp
I'll transfer your defense to another date, sorryyyy
But could you send me the link to the file because I don't have it
I apologize very much, I'm having a jinxed week","Okay
Regarding homework 10, I got stuck debugging, and then when I did fix it, their code didn't work, so it's good you gave me an extension",mayan_student_translated.txt
f0fc1921-b1c5-46ab-8030-1b056c4568ed,chat:u_1_u_2,3,Maayan Magshimim,Barbara,2025-01-06 17:51:04,"Okay
Regarding homework 10, I got stuck debugging, and then when I did fix it, their code didn't work, so it's good you gave me an extension","There's a part, one minute
Check if this is it",mayan_student_translated.txt
4460b14a-5acd-424e-9ce7-59aaae1dc400,chat:u_1_u_2,4,Barbara,Maayan Magshimim,2025-01-06 18:24:15,"There's a part, one minute
Check if this is it","I just got a moment to write this, sorry",mayan_student_translated.txt
ea774432-e394-457a-819c-322c3c8956c9,chat:u_1_u_2,5,Maayan Magshimim,Barbara,2025-01-06 18:24:21,"I just got a moment to write this, sorry","Oh, ugh, I don't have any messages on WhatsApp at all...
Check with Aviv for a minute
I sent him about a piece of code that wasn't working
Have him send it to you, check if that's the one",mayan_student_translated.txt
ccc4b4f8-e137-4a29-b034-530a9aae581f,chat:u_1_u_2,6,Barbara,Maayan Magshimim,2025-01-06 18:24:36,"Oh, ugh, I don't have any messages on WhatsApp at all...
Check with Aviv for a minute
I sent him about a piece of code that wasn't working
Have him send it to you, check if that's the one","No, it's probably me because after a certain stage I stopped receiving the numbers they said I was supposed to receive",mayan_student_translated.txt
4d66d0f2-5851-4185-b924-46ba35683147,chat:u_1_u_2,7,Maayan Magshimim,Barbara,2025-01-06 18:24:56,"No, it's probably me because after a certain stage I stopped receiving the numbers they said I was supposed to receive","Okay, good",mayan_student_translated.txt
b85647c2-013d-4194-80f9-4a4e9900ce15,chat:u_1_u_2,8,Barbara,Maayan Magshimim,2025-01-06 18:25:08,"Okay, good","I don't know, that last function complicated things for me
Hi, I fixed my code but I'm still getting errors
From what I researched, pandas removed `append` and that's the error I'm getting",mayan_student_translated.txt
a90bf4e2-2357-42a7-bfc9-0046c845fe71,chat:u_1_u_2,9,Maayan Magshimim,Barbara,2025-01-06 18:25:23,"I don't know, that last function complicated things for me
Hi, I fixed my code but I'm still getting errors
From what I researched, pandas removed `append` and that's the error I'm getting","‎audio omitted
‎audio omitted",mayan_student_translated.txt
52eeee07-17b5-466e-84a2-e401d877967f,chat:u_1_u_2,10,Barbara,Maayan Magshimim,2025-01-07 23:24:48,"‎audio omitted
‎audio omitted","So what do I do because my code doesn't have `append`, otherwise it wouldn't have worked either",mayan_student_translated.txt
09761056-f34f-4c8e-b17f-dc59471176de,chat:u_1_u_2,11,Maayan Magshimim,Barbara,2025-01-08 07:14:24,"So what do I do because my code doesn't have `append`, otherwise it wouldn't have worked either","What?
Do it with `apply`
`apply` method",mayan_student_translated.txt
