ep,scene,target_speaker,prompt,gold,gen
S01E01,8.0,Leonard,"<Sheldon>: Leonard.
<Leonard>:",What?,"Hi, Sheldon.

Leonard: (smiling) Hi, guys.

Sheldon: (smiling back) Hey, Leonard.

Leonard: (nodding) I'"
S01E01,8.0,Sheldon,"<Sheldon>: Leonard.
<Leonard>: What?
<Sheldon>:",My mom bought me those pants.,"I'm sorry, but you're not allowed to play chess at this party. It's a tradition.
<Leonard>: (pouting) Fine, I'll play a game with you."
S01E01,8.0,Leonard,"<Sheldon>: Leonard.
<Leonard>: What?
<Sheldon>: My mom bought me those pants.
<Leonard>:",I’m sorry.,"Really?
<Sheldon>: Yeah. They're black and have a pink stripe.
<Leonard>: Pink stripe?
<Sheldon>: Yeah. It's a fashion statement"
S01E01,8.0,Sheldon,"<Sheldon>: Leonard.
<Leonard>: What?
<Sheldon>: My mom bought me those pants.
<Leonard>: I’m sorry.
<Sheldon>:",You’re going to have to call her.,"I’m not. You just didn’t get the memo.

The pants are a perfect fit.

(As they start to walk, they get caught in a windstorm. Sheldon is fur"
S07E23,9.0,Sheldon,"<Raj>: I don’t understand it. I’m a nice guy, I have a great job, I’m well-educated, come from a good family. Why don’t women want to be with me?
<Sheldon>:","An interesting question. Well, good night.",You don’t understand it. Women don’t want to be with you. They don’t want to marry you. They don’t want to have children with you. They don’t want to be with you.
S07E23,9.0,Raj,"<Raj>: I don’t understand it. I’m a nice guy, I have a great job, I’m well-educated, come from a good family. Why don’t women want to be with me?
<Sheldon>: An interesting question. Well, good night.
<Raj>:",What? Don’t send me home. I can’t be alone right now.,"See you tomorrow.

Broadcast:

Title card: A HILARIOUS STORY ABOUT JIM.

Scene 1: Jim, a successful businessman, is sitting on his c"
S07E23,9.0,Sheldon,"<Raj>: I don’t understand it. I’m a nice guy, I have a great job, I’m well-educated, come from a good family. Why don’t women want to be with me?
<Sheldon>: An interesting question. Well, good night.
<Raj>: What? Don’t send me home. I can’t be alone right now.
<Sheldon>:",That’s your problem. You can’t be alone.,"You’re not alone. You’re with me. I’m a big man.
<Raj>: I don’t know what you’re talking about.
<Sheldon>: You’re not alone."
S07E23,9.0,Raj,"<Raj>: I don’t understand it. I’m a nice guy, I have a great job, I’m well-educated, come from a good family. Why don’t women want to be with me?
<Sheldon>: An interesting question. Well, good night.
<Raj>: What? Don’t send me home. I can’t be alone right now.
<Sheldon>: That’s your problem. You can’t be alone.
<Raj>:",What do you mean?,"(smiling) You’re right. I’m not a nice guy.
<Sheldon>: (nodding) And you’re not a nice girl.
<Raj>: (laughs)"
S07E23,9.0,Sheldon,"<Raj>: I don’t understand it. I’m a nice guy, I have a great job, I’m well-educated, come from a good family. Why don’t women want to be with me?
<Sheldon>: An interesting question. Well, good night.
<Raj>: What? Don’t send me home. I can’t be alone right now.
<Sheldon>: That’s your problem. You can’t be alone.
<Raj>: What do you mean?
<Sheldon>:",How many women have you had dates with?,"You’re too nice. You’re a nice guy. I don’t think women want to be with nice guys. They want to be with smart, successful guys.
<Raj>: (Sighs) I"
S07E23,9.0,Raj,"<Raj>: I don’t understand it. I’m a nice guy, I have a great job, I’m well-educated, come from a good family. Why don’t women want to be with me?
<Sheldon>: An interesting question. Well, good night.
<Raj>: What? Don’t send me home. I can’t be alone right now.
<Sheldon>: That’s your problem. You can’t be alone.
<Raj>: What do you mean?
<Sheldon>: How many women have you had dates with?
<Raj>:",Eleven.,"How many women have you had dates with?
<Sheldon>: I’m not asking about the number of dates you’ve had, Raj.
<Raj>: I don’t have dates with women.
<"
S07E23,9.0,Sheldon,"<Sheldon>: An interesting question. Well, good night.
<Raj>: What? Don’t send me home. I can’t be alone right now.
<Sheldon>: That’s your problem. You can’t be alone.
<Raj>: What do you mean?
<Sheldon>: How many women have you had dates with?
<Raj>: Eleven.
<Sheldon>:",How many of those women did you think would become your perfect companion?,"Eleven. That’s more than I’ve had dates with.
<Raj>: Well, I don’t know about you, but I don’t want to be the last one.
<Sheldon>:"
S07E23,9.0,Raj,"<Raj>: What? Don’t send me home. I can’t be alone right now.
<Sheldon>: That’s your problem. You can’t be alone.
<Raj>: What do you mean?
<Sheldon>: How many women have you had dates with?
<Raj>: Eleven.
<Sheldon>: How many of those women did you think would become your perfect companion?
<Raj>:",Eleven. Wait. Do I count the 200-pound Sailor Moon girl that Howard and I had a threesome with at Comic Con?,"None.

Scene 5: The Biggest Bloopers

The group is back in their hotel room, and they’re discussing the best bloopers of their past dates.

<Leonard>:"
S07E23,9.0,Sheldon,"<Sheldon>: That’s your problem. You can’t be alone.
<Raj>: What do you mean?
<Sheldon>: How many women have you had dates with?
<Raj>: Eleven.
<Sheldon>: How many of those women did you think would become your perfect companion?
<Raj>: Eleven. Wait. Do I count the 200-pound Sailor Moon girl that Howard and I had a threesome with at Comic Con?
<Sheldon>:",Sure.,"Yes.

(Everyone laughs.)

Scene 3:

The group is at a restaurant, and they're all sitting at a table with their drinks.

<Amir>: What's"
S07E23,9.0,Raj,"<Raj>: What do you mean?
<Sheldon>: How many women have you had dates with?
<Raj>: Eleven.
<Sheldon>: How many of those women did you think would become your perfect companion?
<Raj>: Eleven. Wait. Do I count the 200-pound Sailor Moon girl that Howard and I had a threesome with at Comic Con?
<Sheldon>: Sure.
<Raj>:",I’ll stick with eleven. She liked Howard better.,"I think we should reevaluate our criteria.
<Sheldon>: Reevaluate?
<Raj>: Yeah. We're still in the dating phase, Sheldon.
<Sheldon>: Yes"
S07E23,9.0,Sheldon,"<Sheldon>: How many women have you had dates with?
<Raj>: Eleven.
<Sheldon>: How many of those women did you think would become your perfect companion?
<Raj>: Eleven. Wait. Do I count the 200-pound Sailor Moon girl that Howard and I had a threesome with at Comic Con?
<Sheldon>: Sure.
<Raj>: I’ll stick with eleven. She liked Howard better.
<Sheldon>:","Well, now do you see the problem?","Why did you like her better?
<Raj>: Because she was thinner.

(Raj and Howard are still arguing about the 200-pound Sailor Moon girl.)

BEN"
S07E23,9.0,Raj,"<Raj>: Eleven.
<Sheldon>: How many of those women did you think would become your perfect companion?
<Raj>: Eleven. Wait. Do I count the 200-pound Sailor Moon girl that Howard and I had a threesome with at Comic Con?
<Sheldon>: Sure.
<Raj>: I’ll stick with eleven. She liked Howard better.
<Sheldon>: Well, now do you see the problem?
<Raj>:","Maybe. I, I don’t know.It’s late, I should, I should go. Look, I do get what you’re saying. Instead of desperately clinging to any woman who will go out with me, I need to work on my fear of being alone.","I do, Sheldon. I do.

(Raj laughs, but then a new scene starts, this time involving Raj and Howard. Raj and Howard are walking together, and Howard says, “You’re going"
S07E23,9.0,Sheldon,"<Sheldon>: How many of those women did you think would become your perfect companion?
<Raj>: Eleven. Wait. Do I count the 200-pound Sailor Moon girl that Howard and I had a threesome with at Comic Con?
<Sheldon>: Sure.
<Raj>: I’ll stick with eleven. She liked Howard better.
<Sheldon>: Well, now do you see the problem?
<Raj>: Maybe. I, I don’t know.It’s late, I should, I should go. Look, I do get what you’re saying. Instead of desperately clinging to any woman who will go out with me, I need to work on my fear of being alone.
<Sheldon>:","I was trying to suggest chemical castration, but it’s my bedtime, so whatever gets you out the door. Good night.","Well, I’m afraid I don’t have the answers.
<Raj>: Well, I’ll just have to trust you to help me out.
<Sheldon>: That's my job."
S04E14,1.0,Howard,"<Leonard>: I found another tweet from a student at Sheldon’s lecture. Dr. Cooper has taken a relatively boring subject and managed to make it completely insufferable. Plus, he looks like a giant insect.
<Howard>:","Look. Listen to this one. Does Einstein’s theory explain why time flies when you’re having fun, but when you’re listening to Dr. Cooper, it falls out of the sky, dead?","I’m just glad he’s not a scientist. They’re always so annoying.
<Leonard>: That’s true, but he’s a professor. He should be able to handle it."
S04E14,1.0,Raj,"<Leonard>: I found another tweet from a student at Sheldon’s lecture. Dr. Cooper has taken a relatively boring subject and managed to make it completely insufferable. Plus, he looks like a giant insect.
<Howard>: Look. Listen to this one. Does Einstein’s theory explain why time flies when you’re having fun, but when you’re listening to Dr. Cooper, it falls out of the sky, dead?
<Raj>:","Ooh, somebody took pictures and uploaded them to their Flickr account.","Dr. Cooper’s tweets are getting worse. He’s even started talking about the existence of extraterrestrial life.
<Leonard>: That’s not science. It’s a stalker."
